#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment,selectable
230,00:12:13:58,00:12:14:12,00:00:00:14,Student 1,English,Okay.,,,c,yes
231,00:12:14:12,00:12:16:12,00:00:02:00,Student 2,English,"We did that on advisory, Student 3.",,,c,yes
232,00:12:16:17,00:12:17:49,00:00:01:32,Student 3,English,"I know. Wait, what?",,,c,yes
233,00:12:18:47,00:12:19:23,00:00:00:36,Student 2,English,"Me, [unintelligible]...",,,c,yes
234,00:12:19:23,00:12:27:00,00:00:07:37,Student 1,English,"Are you gonna buy an entire, just, set of microphones, just to whisper ASMR.",,,c,yes
235,00:12:27:28,00:12:28:06,00:00:00:38,Student 3,English,"Oh, my god.",,,c,yes
236,00:12:28:06,00:12:30:50,00:00:02:44,Student 2,English,"I mean, we did that to [unintelligible]'s recorder in advisory.",,,c,yes
237,00:12:31:03,00:12:35:09,00:00:04:06,Student 3,English,"Wait, what? You did that to [unintelligible]'s recorder in advisory?",,,c,yes
238,00:12:35:18,00:12:35:50,00:00:00:32,Student 2,English,Yeah.,,,c,yes
239,00:12:35:50,00:12:38:01,00:00:02:11,Student 3,English,You screamed into his...,,,c,yes
240,00:12:38:01,00:12:40:46,00:00:02:45,Student 2,English,No. We whispered into it as silently as possible..,,,c,yes
241,00:12:40:46,00:12:43:15,00:00:02:29,Student 3,English,"Hold up. [Student 1], scream into the recorder.",,,c,yes
242,00:12:43:15,00:12:43:28,00:00:00:13,Student 1,English,No!,,,c,yes
243,00:12:43:28,00:12:44:21,00:00:00:53,Student 3,English,Scream into your recorder.,,,c,yes
244,00:12:44:21,00:12:46:33,00:00:02:12,Student 1,English,I'm not gonna do that. It's gonna break.,,,c,yes
245,00:12:46:33,00:12:47:14,00:00:00:41,Student 3,English,I know.,,,c,yes
246,00:12:47:14,00:12:48:24,00:00:01:10,Student 1,English,And I'm gonna owe money.,,,c,yes
247,00:12:49:34,00:12:50:29,00:00:00:55,Student 3,English,How's our...,,,c,yes
248,00:12:51:39,00:12:52:32,00:00:00:53,Student 2,English,What does that mean?,,,c,yes
249,00:12:53:13,00:12:55:13,00:00:02:00,Student 1,English,"I don't know, awesome sauce, am I right?",,,c,yes
250,00:12:55:21,00:13:02:21,00:00:06:56,Student 3,English,"Awesome sauce... [unintelligible] fu-- I mean, fudge.",,,c,yes
251,00:13:03:12,00:13:05:27,00:00:02:15,Student 1,English,"Yeah. True. Ooh, I got special scissors.",,,c,yes
252,00:13:05:27,00:13:07:09,00:00:01:42,,,[crosstalk],,,c,
253,00:13:07:09,00:13:08:36,00:00:01:27,Student 3,English,Because I'm special.,,,c,
254,00:13:09:15,00:13:11:10,00:00:01:55,,,[crosstalk],,,c,
255,00:13:11:10,00:13:13:12,00:00:02:02,Student 1,English,These are my goofy scissors.,,,c,yes
256,00:13:13:12,00:13:16:21,00:00:03:09,Student 2,English,I think we're gonna need more than...,,,c,yes
257,00:13:16:40,00:13:18:01,00:00:01:21,Student 3,English,3.14 squares?,,,c,yes
258,00:13:18:12,00:13:20:42,00:00:02:30,Student 2,English,"Let's see, so... Yeah, well...",,,c,yes
259,00:13:20:52,00:13:27:22,00:00:06:30,Student 3,English,Where are we supposed to put these squares either way? Are we supposed to cut out these squares and do nothing with that?,,,c,yes
260,00:13:27:59,00:13:31:04,00:00:03:05,Student 1,English,"So these scissors aren't sharp, and how do they cut?",,,c,yes
261,00:13:33:15,00:13:34:34,00:00:01:19,Student 2,English,How do you know they're not sharp?,,,c,yes
262,00:13:34:34,00:13:37:44,00:00:03:10,Student 1,English,"Because do you see this blade? Like, that's not sharp.",,,c,yes
263,00:13:37:44,00:13:42:05,00:00:04:21,Student 3,English,"What is this, [Student 2]? [Student 2]...",,,c,yes
264,00:13:42:05,00:13:45:59,00:00:03:54,Student 2,English,[Student 1]... They're supposed to cut like this. Let me show you.,,,c,yes
265,00:13:46:01,00:13:47:54,00:00:01:53,Student 3,English,[Student 2] [unintelligible]. What is this?,,,c,yes
266,00:13:47:59,00:13:48:18,00:00:00:19,Student 2,English,That's...,,,c,yes
267,00:13:48:18,00:13:50:18,00:00:02:00,Student 1,English,I think I get it. I think it's pressure.,,,c,yes
268,00:13:51:28,00:13:58:40,00:00:07:12,Student 2,English,"Wait, let me show you.  And then see. Fancy design.",,,c,yes
269,00:13:58:47,00:14:01:52,00:00:03:01,Student 1,English,I know. That's why these are special scissors.,,,c,yes
270,00:14:02:25,00:14:03:20,00:00:00:55,Student 3,English,Okay.,,,c,yes
271,00:14:06:48,00:14:13:22,00:00:06:34,Student 2,English,"Okay guys, how are we gonna figure out... How are we gonna cut out like a little excess?",,,c,yes
272,00:14:14:36,00:14:16:36,00:00:02:00,Student 1,English,"Yeah, that's what I'm worried about.",,,c,yes
273,00:14:16:38,00:14:20:44,00:00:04:06,Student 3,English,"For some reason, I feel like first periods are really short, like...",,,c,yes
274,00:14:21:03,00:14:23:03,00:00:02:00,Student 1,English,I beg to differ.,,,c,yes
275,00:14:23:28,00:14:24:35,00:00:01:07,Student 2,English,"Yeah, me too.",,,c,yes
276,00:14:24:36,00:14:26:06,00:00:01:30,Student 3,English,"First period, nine...",,,c,yes
277,00:14:26:32,00:14:31:29,00:00:04:57,Student 2,English,"Let's cut through the stuff that we know already, is excess, like this.",,,c,yes
278,00:14:31:43,00:14:33:19,00:00:01:36,Student 1,English,And we gotta keep the excess.,,,c,yes
279,00:14:33:21,00:14:36:54,00:00:03:33,Student 2,English,Snippy snippety snippety snippety.,,,c,yes
280,00:14:38:36,00:14:57:41,00:00:19:05,Teacher,English,"You guys have the radius square, and you're trying to figure out how much it takes up in the circle, how many of those squares are we gonna use? 3.14, right? So, you won't be able to...",,,c,
281,00:14:57:41,00:14:58:02,00:00:00:21,Student 3,English,What are you doing?,,,c,
282,00:14:58:04,00:14:59:22,00:00:01:18,Teacher,English,The best you can do is estimate.,,,c,
283,00:14:59:24,00:15:00:31,00:00:01:03,Student 2,English,Cutting out the excess.,,,c,
284,00:15:00:31,00:15:06:30,00:00:05:59,Teacher,English,Okay? so try to get it fit into the circle. And this part of the activity might not work.,,,c,
285,00:15:06:30,00:15:07:38,00:00:01:08,Student 2,English,Are you freaking out?,,,c,yes
286,00:15:08:13,00:15:09:31,00:00:01:18,Student 3,English,"You know, sometimes I wonder...",,,c,yes
287,00:15:10:08,00:15:13:46,00:00:03:38,Student 1,English,"Wait. Where's the cal... Can you pass me the calculator, please?",,,c,yes
288,00:15:13:46,00:15:14:19,00:00:00:33,Student 2,English,Yup.,,,c,yes
289,00:15:14:41,00:15:17:17,00:00:02:36,Student 1,English,"Wait, so this is what Pi looks like.",,,c,yes
290,00:15:18:17,00:15:20:45,00:00:02:28,Student 2,English,What if there was a Pi-shaped pie?,,,c,yes
291,00:15:21:36,00:15:22:39,00:00:01:03,Student 1,English,That would be yummy.,,,c,yes
292,00:15:24:20,00:15:27:16,00:00:02:56,Student 2,English,A blueberry Pi-shaped pie.,,,c,yes
293,00:15:29:54,00:15:31:29,00:00:01:35,Student 1,English,"So if this is what Pi looks like, right?",,,c,yes
294,00:15:31:35,00:15:31:55,00:00:00:20,Student 2,English,Yeah.,,,c,yes
295,00:15:31:55,00:15:34:49,00:00:02:54,Student 1,English,Pi is actually meant to be a face. Just wait.,,,c,yes
296,00:15:34:49,00:15:59:55,00:00:25:06,Student 3,English,"What do you mean? Pi is three  Oh, yeah. I went to a tour at [unintelligible] the other day, and I saw this thing with Pi, and it was like the first five hundred numbers of Pi. And I'm like, ""Why is there the first five hundred numbers of Pi on the wall?'",,,c,yes
297,00:16:01:55,00:16:02:58,00:00:01:03,Student 2,English,Did you ask anybody?,,,c,yes
298,00:16:03:18,00:16:10:50,00:00:07:32,Student 3,English,"No, I just looked at it, and there just Pi there with a bunch of numbers.",,,c,yes
299,00:16:10:50,00:16:11:54,00:00:01:04,Student 2,English,It was just a mural.,,,c,yes
300,00:16:11:54,00:16:15:14,00:00:03:20,Student 3,English,"It started with 3.14, 5, 6, 7, 2, 9...",,,c,yes
301,00:16:15:14,00:16:16:34,00:00:01:20,Student 2,English,It was just a mural.,,,c,yes
302,00:16:16:34,00:16:17:54,00:00:01:20,Student 3,English,"Yeah, I forget the rest of them.",,,c,yes
303,00:16:19:06,00:16:20:42,00:00:01:36,Student 2,English,"Okay, guys, I'm starting to do this right.",,,c,yes
304,00:16:20:44,00:16:21:29,00:00:00:45,Student 3,English,All right.,,,c,yes
305,00:16:27:28,00:16:29:45,00:00:02:17,Student 2,English,Are you doing a Pi-shaped face?,,,c,yes
306,00:16:29:45,00:16:31:05,00:00:01:20,Student 1,English,Yeah. You see? Look at it.,,,c,yes
307,00:16:31:44,00:16:33:11,00:00:01:27,Student 3,English,"All right, my special scissors now.",,,c,yes
308,00:16:34:56,00:16:36:42,00:00:01:46,Student 2,English,"""My special scissors.""",,,c,yes
309,00:16:37:36,00:16:40:38,00:00:03:02,Student 1,English,So then you just snip snip. This is confusing.,,,c,yes
310,00:16:41:20,00:16:41:41,00:00:00:21,Student 3,English,Yeah.,,,c,yes
311,00:16:41:41,00:16:42:34,00:00:00:53,Student 2,English,It's actually very simple.,,,c,yes
312,00:16:43:27,00:16:44:33,00:00:01:06,Student 3,English,[Student 2]'s doing all the work.,,,c,yes
313,00:16:45:36,00:16:48:21,00:00:02:45,Student 1,English,"Yeah. No, this is just because he's cutting scissors.",,,c,yes
314,00:16:48:24,00:16:49:10,00:00:00:46,Student 3,English,"Oh, Yeah.",,,c,yes
315,00:16:49:32,00:16:55:59,00:00:06:27,Student 2,English,"Okay, so we have the excess. I put you right there.",,,c,yes
316,00:16:56:15,00:16:57:30,00:00:01:15,Student 3,English,"No, I'm not lifting my...",,,c,yes
317,00:16:57:30,00:17:00:23,00:00:02:49,Student 1,English,"I think if we cut out the fourth one, we can like...",,,c,yes
318,00:17:01:04,00:17:03:44,00:00:02:40,Student 2,English,"Yeah, but first we wanna see what we can do with this.",,,c,yes
